Data de Referência,Precipitação (mm)
2007-01-01,162.8
2007-02-01,134.4
2007-03-01,119.0
2007-04-01,5.6000000000000005
2007-05-01,212.4
2007-06-01,42.2
2007-07-01,197.4
2007-08-01,120.2
2007-09-01,87.4
2007-10-01,166.20000000000002
2007-11-01,158.8
2007-12-01,118.2
2008-01-01,86.39999999999999
2008-02-01,97.6
2008-03-01,139.4
2008-04-01,218.8
2008-05-01,71.0
2008-06-01,115.4
2008-07-01,32.4
2008-08-01,115.8
2008-09-01,97.2
2008-10-01,354.6
2008-11-01,163.0
2008-12-01,44.2
2009-01-01,144.4
2009-02-01,169.0
2009-03-01,36.0
2009-04-01,18.6
2009-05-01,122.4
2009-06-01,76.2
2009-07-01,121.60000000000001
2009-08-01,125.6
2009-09-01,261.8
2009-10-01,202.8
2009-11-01,276.8
2009-12-01,171.4
2010-01-01,157.6
2010-02-01,140.2
2010-03-01,115.39999999999999
2010-04-01,242.0
2010-05-01,187.8
2010-06-01,85.2
2010-07-01,215.2
2010-08-01,44.4
2010-09-01,195.4
2010-10-01,107.8
2010-11-01,114.8
2010-12-01,262.6
2011-01-01,133.2
2011-02-01,202.0
2011-03-01,255.4
2011-04-01,103.0
2011-05-01,82.2
2011-06-01,267.4
2011-07-01,282.6
2011-08-01,227.2
2011-09-01,100.6
2011-10-01,186.0
2011-11-01,82.4
2011-12-01,14.6
2012-01-01,70.6
2012-02-01,21.2
2012-03-01,3.0
2012-04-01,25.0
2012-05-01,20.4
2012-06-01,172.6
2012-07-01,248.0
2012-08-01,6.2
2012-09-01,117.2
2012-10-01,105.0
2012-11-01,40.2
2012-12-01,177.2
2013-01-01,152.0
2013-02-01,188.20000000000002
2013-03-01,183.8
2013-04-01,128.0
2013-05-01,113.0
2013-06-01,154.0
2013-07-01,90.2
2013-08-01,318.0
2013-09-01,188.6
2013-10-01,178.6
2013-11-01,163.6
2013-12-01,152.6
2014-01-01,185.8
2014-02-01,231.6
2014-03-01,232.4
2014-04-01,97.4
2014-05-01,0.0
2014-06-01,18.2
2014-07-01,0.0
2014-08-01,87.8
2014-09-01,291.0
2014-10-01,104.4
2014-11-01,159.4
2014-12-01,213.4
2015-01-01,300.4
2015-02-01,202.0
2015-03-01,26.200000000000003
2015-04-01,28.8
2015-05-01,0.0
2015-06-01,0.0
2015-07-01,0.0
2015-08-01,51.2
2015-09-01,288.8
2015-10-01,248.79999999999998
2015-11-01,236.0
2015-12-01,436.0
2016-01-01,0.0
2016-02-01,0.0
2016-03-01,0.0
2016-04-01,64.0
2016-05-01,0.0
2016-06-01,0.0
2016-07-01,127.4
2016-08-01,179.8
2016-09-01,55.0
2016-10-01,227.6
2016-11-01,61.0
2016-12-01,191.4
2017-01-01,211.6
2017-02-01,156.0
2017-03-01,151.79999999999998
2017-04-01,191.4
2017-05-01,463.2
2017-06-01,204.6
2017-07-01,11.0
2017-08-01,75.2
2017-09-01,63.199999999999996
2017-10-01,113.60000000000001
2017-11-01,52.8
2017-12-01,22.8
2018-01-01,120.8
2018-02-01,59.2
2018-03-01,59.0
2018-04-01,4.0
2018-05-01,76.4
2018-06-01,113.0
2018-07-01,89.0
2018-08-01,104.60000000000001
2018-09-01,160.8
2018-10-01,236.8
2018-11-01,199.2
2018-12-01,97.0
2019-01-01,232.4
2019-02-01,193.8
2019-03-01,214.0
2019-04-01,147.8
2019-05-01,270.6
2019-06-01,40.0
2019-07-01,135.6
2019-08-01,53.4
2019-09-01,45.4
2019-10-01,204.6
2019-11-01,118.60000000000001
2019-12-01,114.19999999999999
2020-01-01,131.4
2020-02-01,91.2
2020-03-01,27.8
2020-04-01,67.6
2020-05-01,149.4
2020-06-01,238.6
2020-07-01,182.4
2020-08-01,95.8
2020-09-01,67.0
2020-10-01,23.4
2020-11-01,128.6
2020-12-01,144.4
2021-01-01,319.0
2021-02-01,24.0
2021-03-01,95.60000000000001
2021-04-01,5.4
2021-05-01,115.6
2021-06-01,183.4
2021-07-01,46.8
2021-08-01,32.2
2021-09-01,0.4
2021-10-01,40.2
2021-11-01,63.8
2021-12-01,26.2
2022-01-01,202.0
2022-02-01,0.0
2022-03-01,0.0
2022-04-01,0.0
2022-05-01,44.0
2022-06-01,183.4
2022-07-01,83.4
2022-08-01,61.8
2022-09-01,3.6
2022-10-01,77.4
2022-11-01,94.4
2022-12-01,0.0
